
2025/04/15 (01:05:34) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:34) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:34) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:34) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:34) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:35) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:35) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:35) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:35) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:35) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:35) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:35) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:35) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:35) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:35) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:36) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:36) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:36) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:36) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:36) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:36) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:36) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:36) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:36) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:36) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:37) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:37) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:37) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:37) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:37) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:37) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:37) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:37) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:37) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:38) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:38) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:38) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:38) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:38) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:38) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:38) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:38) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2025/04/15 (01:05:38) | WARNING: Error in Mem::collect() : std::future_error: No associated state
